term_36m,term_60m,grade_n,sub_grade_n,revol_util_n,int_rate_n,installment_n,tot_hi_cred_lim_n,emp_length_n,dti_n,avg_cur_bal_n,all_util_n,acc_open_past_24mths_n,annual_inc_n,loan_amnt_n,cover,Outcome
1.0,0.0,0.8333333333333334,0.7352941176470589,0.6052855924978687,0.2403583950136346,0.13561610377627314,0.02130988017269855,0.0,0.6508409623163721,0.021555914587660954,0.5511811023622047,0.09090909090909091,0.0035439137134052386,0.15384615384615385,0.0038919270448612418,1.0
1.0,0.0,0.6666666666666666,0.7058823529411765,0.4390451832907076,0.2598363848850799,0.20434346038509033,0.2538060224738854,0.6,0.2778369171811794,0.24892814928275178,0.5826771653543307,0.3333333333333333,0.016178736517719568,0.23076923076923078,0.011148709562266908,1.0
0.0,1.0,0.6666666666666666,0.6764705882352942,0.7075873827791986,0.28320997273081416,0.4654124319850198,0.2466743442942111,0.05,0.6095380029806259,0.14993320604013233,0.7874015748031497,0.15151515151515152,0.01325115562403698,0.7897435897435897,0.002078812366232382,0.0
1.0,0.0,0.6666666666666666,0.6176470588235294,0.13213981244671782,0.33774834437086093,0.20392281911068294,0.0007554016367493282,0.7,0.12476048541622312,0.0008532840946445932,0.7874015748031497,0.030303030303030304,0.01078582434514638,0.2230769230769231,0.0076703364337394175,0.0
0.0,1.0,0.6666666666666666,0.6176470588235294,0.5208866155157715,0.3767043241137515,0.22108769692117725,0.14877909927282293,0.6,0.29742388758782196,0.2639655329178819,0.4409448818897638,0.030303030303030304,0.0061633281972265025,0.358974358974359,0.0024151081465821965,0.0
0.0,1.0,0.8333333333333334,0.7647058823529411,0.26342710997442453,0.2115309700038956,0.27236522517877254,0.21923815684747547,0.2,0.7000212901852246,0.0538128510179959,0.2283464566929134,0.2727272727272727,0.010323574730354392,0.48717948717948717,0.0029676421136969468,0.0
1.0,0.0,1.0,0.9117647058823529,0.7433930093776642,0.08063887806778339,0.6111307108837538,0.41342307504777914,0.8,0.502022567596338,0.2267217804262224,0.5984251968503937,0.06060606060606061,0.02465331278890601,0.7435897435897436,0.004910422836777833,0.0
1.0,0.0,0.6666666666666666,0.6470588235294118,0.4092071611253197,0.31203739774055317,0.11511323391725581,0.014146612470032873,0.2,0.47562273791781984,0.014142134748945635,0.7874015748031497,0.12121212121212122,0.002465331278890601,0.12628205128205128,0.0035431889287682898,0.0
1.0,0.0,1.0,1.0,0.42028985507246375,0.0,0.24055253266754417,0.22411393104831207,0.6,0.5514157973174365,0.19630430069171964,0.3543307086614173,0.06060606060606061,0.009399075500770416,0.30256410256410254,0.004782315162950823,0.0
1.0,0.0,0.8333333333333334,0.7647058823529411,0.6410912190963343,0.23841059602649006,0.2472692239846941,0.058828619283755636,0.2,0.45305514157973165,0.028368199080971067,0.7874015748031497,0.06060606060606061,0.00909090909090909,0.28205128205128205,0.004999541218570531,0.0
0.0,1.0,0.3333333333333333,0.3235294117647059,0.6078431372549019,0.5909622126996493,0.32498609169979786,0.04069829327301108,0.3,0.8258462848626783,0.024682291557383357,0.7874015748031497,0.3333333333333333,0.004340215716486903,0.46282051282051284,0.0009930313922056884,1.0
1.0,0.0,1.0,0.8823529411764706,0.33248081841432225,0.10011686793922865,0.06393747370992037,0.026431503269858995,1.0,0.3546944858420268,0.03285843177574015,0.7874015748031497,0.06060606060606061,0.006933744221879815,0.07692307692307693,0.013554905870669837,0.0
